text,intent,slots
今天天气不错啊,N,ooooooo
好像要下雨了,N,oooooo
外面风挺大的,N,oooooo
你听到声音了吗,N,ooooooo
这是什么动静,N,oooooo
有点冷,N,ooo
有点热,N,ooo
空气挺清新的,N,oooooo
感觉有点闷,N,ooooo
天快黑了,N,oooo
我有点饿,N,oooo
我有点渴,N,oooo
想喝点水,N,oooo
想吃点东西,N,ooooo
现在几点了,N,ooooo
今天星期几,N,ooooo
明天什么安排,N,oooooo
最近挺忙的,N,ooooo
有点困,N,ooo
想睡觉,N,ooo
你在干嘛,N,oooo
我在发呆,N,oooo
刚才说什么,N,ooooo
再说一遍,N,oooo
没听清楚,N,oooo
声音有点小,N,ooooo
声音有点大,N,ooooo
能听见吗,N,oooo
说话清楚点,N,ooooo
这是谁的声音,N,oooooo
感觉不错,N,oooo
还可以吧,N,oooo
挺好的,N,ooo
有点奇怪,N,oooo
真有意思,N,oooo
好无聊啊,N,oooo
太累了,N,ooo
心情一般,N,oooo
心情不错,N,oooo
有点烦,N,ooo
刚才吓我一跳,N,oooooo
怎么回事,N,oooo
发生什么了,N,ooooo
好像出问题了,N,oooooo
算了吧,N,ooo
不太对劲,N,oooo
我再看看,N,oooo
等一下再说,N,ooooo
别着急,N,ooo
慢慢来,N,ooo
你觉得呢,N,oooo
我觉得可以,N,ooooo
这主意不错,N,ooooo
不太合适吧,N,ooooo
要不要试试,N,ooooo
还是算了,N,oooo
以后再说,N,oooo
现在不行,N,oooo
可能吧,N,ooo
也许可以,N,oooo
我想想,N,ooo
有点纠结,N,oooo
真难决定,N,oooo
随便吧,N,ooo
都可以,N,ooo
你决定,N,ooo
看情况,N,ooo
不一定,N,ooo
说不准,N,ooo
还没想好,N,oooo
有点紧张,N,oooo
放松一点,N,oooo
别担心,N,ooo
别想太多,N,oooo
顺其自然,N,oooo
开心一点,N,oooo
别生气,N,ooo
深呼吸,N,ooo
冷静一下,N,oooo
保持微笑,N,oooo
我去看看,N,oooo
我回来了,N,oooo
刚刚走开,N,oooo
在这儿呢,N,oooo
听到了,N,ooo
看到了,N,ooo
明白了,N,ooo
懂了,N,oo
不太懂,N,ooo
再解释一下,N,ooooo
真的假的,N,oooo
太夸张了,N,oooo
不会吧,N,ooo
真厉害,N,ooo
好神奇,N,ooo
这也行,N,ooo
太搞笑了,N,oooo
有点离谱,N,oooo
还挺酷,N,ooo
挺有趣的,N,oooo
早上好,N,ooo
中午好,N,ooo
晚上好,N,ooo
晚安,N,oo
你好,N,oo
再见,N,oo
回头见,N,ooo
保重,N,oo
路上小心,N,oooo
祝你顺利,N,oooo
最近怎么样,N,ooooo
还好吗,N,ooo
身体怎么样,N,ooooo
工作顺利吗,N,ooooo
学习怎么样,N,ooooo
放松一下,N,oooo
休息一下,N,oooo
喝点水吧,N,oooo
多注意身体,N,ooooo
别太累,N,ooo
我饿坏了,N,oooo
想吃火锅,N,oooo
想吃面条,N,oooo
想喝奶茶,N,oooo
去吃饭吧,N,oooo
去散步吧,N,oooo
去买点东西,N,ooooo
去看看电影,N,ooooo
听听音乐,N,oooo
看看风景,N,oooo
外面好热闹,N,ooooo
人好多啊,N,oooo
今天挺安静,N,ooooo
这地方不错,N,ooooo
这里挺舒服,N,ooooo
有点吵,N,ooo
太安静了,N,oooo
好像有人,N,oooo
我听见脚步声,N,oooooo
有点阴森,N,oooo
感觉怪怪的,N,ooooo
心里有点慌,N,ooooo
没事吧,N,ooo
应该没问题,N,ooooo
先这样吧,N,oooo
就这样,N,ooo
不说了,N,ooo
待会聊,N,ooo
等会再说,N,oooo
回头再聊,N,oooo
好主意,N,ooo
不太好吧,N,oooo
我赞成,N,ooo
我反对,N,ooo
这不好说,N,oooo
看你怎么想,N,ooooo
其实也行,N,oooo
我不同意,N,oooo
我支持,N,ooo
这个可以考虑,N,oooooo
真不错,N,ooo
有点失望,N,oooo
太棒了,N,ooo
一般般,N,ooo
很满意,N,ooo
不满意,N,ooo
还凑合,N,ooo
还不错,N,ooo
有待改进,N,oooo
还需要努力,N,ooooo
我笑了,N,ooo
真开心,N,ooo
有点难过,N,oooo
有点伤心,N,oooo
太激动了,N,oooo
有点紧张,N,oooo
别怕,N,oo
放心吧,N,ooo
别胡思乱想,N,ooooo
一切都会好,N,ooooo
外面真亮,N,oooo
月亮挺圆,N,oooo
星星好多,N,oooo
天空真蓝,N,oooo
云挺多的,N,oooo
空气不错,N,oooo
有点闷热,N,oooo
风挺舒服,N,oooo
雨下大了,N,oooo
雨停了,N,ooo
我去接个电话,N,oooooo
稍等一下,N,oooo
等我一下,N,oooo
马上回来,N,oooo
别走开,N,ooo
我还在,N,ooo
先聊到这,N,oooo
我得走了,N,oooo
该休息了,N,oooo
该睡觉了,N,oooo
有空再聊,N,oooo
最近挺忙,N,oooo
事情挺多,N,oooo
有点压力,N,oooo
慢慢来吧,N,oooo
别着急上火,N,ooooo
想开点,N,ooo
放宽心,N,ooo
保持耐心,N,oooo
事情会解决,N,ooooo
别太纠结,N,oooo
我支持你,N,oooo
相信自己,N,oooo
努力一点,N,oooo
加油,N,oo
坚持一下,N,oooo
继续努力,N,oooo
别轻易放弃,N,ooooo
再试一次,N,oooo
机会来了,N,oooo
运气不错,N,oooo
有点倒霉,N,oooo
真巧啊,N,ooo
好久不见,N,oooo
最近联系少了,N,oooooo
想你了,N,ooo
记得吃饭,N,oooo
早点休息,N,oooo
别熬夜,N,ooo
多喝水,N,ooo
保持健康,N,oooo
锻炼一下,N,oooo
出去透透气,N,ooooo
别老待着,N,oooo
动一动,N,ooo
放松一下,N,oooo
看会书,N,ooo
听首歌,N,ooo
看个视频,N,oooo
刷会新闻,N,oooo
别太沉迷,N,oooo
控制时间,N,oooo
合理安排,N,oooo
注意节奏,N,oooo
慢一点,N,ooo
快一点说,N,oooo
讲清楚点,N,oooo
说慢一点,N,oooo
声音清晰点,N,ooooo
再重复一下,N,ooooo
